HJD-2450000	I_Mag	Err
5377.547090000007	16.354	0.008
5377.589790000115	16.357	0.01
5377.628010000102	16.351	0.008
5377.701669999864	16.341	0.007
5377.745139999781	16.354	0.008
5377.787849999964	16.343	0.007
5377.825579999946	16.348	0.008
5377.8637399999425	16.345	0.009
5378.535290000029	16.35	0.007
5378.6193900001235	16.352	0.006
5378.7082899999805	16.354	0.007
5378.749880000018	16.36	0.006
5378.788040000014	16.341	0.007
5378.826270000078	16.33	0.007
5378.866160000209	16.364	0.008
5379.505009999964	16.369	0.008
5379.571479999926	16.355	0.007
5379.657329999842	16.341	0.007
5379.7427900000475	16.345	0.007
5379.780449999962	16.342	0.007
5379.818359999917	16.357	0.008
5379.856490000151	16.335	0.008
5380.516429999843	16.349	0.007
5380.554049999919	16.363	0.007
5380.63787999982	16.35	0.007
5380.711999999825	16.351	0.007
5380.750359999947	16.354	0.006
5380.78833999997	16.349	0.007
5380.826330000069	16.326	0.009
5381.5256500002	16.34	0.009
5381.563740000129	16.381	0.012
5381.601520000026	16.35	0.01
5381.6606399999	16.339	0.008
5381.701460000128	16.345	0.009
5381.739430000074	16.356	0.009
5381.786189999897	16.377	0.01
5381.824539999943	16.353	0.01
5381.862540000118	16.34	0.01
5382.55242000008	16.363	0.011
5382.6020599999465	16.363	0.01
5382.639640000183	16.357	0.009
5382.681559999939	16.346	0.009
5382.7213200000115	16.35	0.009
5382.759219999891	16.349	0.01
5382.809369999915	16.34	0.009
5383.693419999909	16.343	0.01
5383.751629999839	16.33	0.01
5384.788939999882	16.349	0.009
5384.845939999912	16.348	0.01
5385.4987300001085	16.355	0.007
5385.713810000103	16.35	0.007
5385.836999999825	16.349	0.006
5386.48245000001	16.361	0.007
5386.526939999778	16.339	0.007
5386.564660000149	16.352	0.006
5386.648120000027	16.353	0.007
5386.732189999893	16.343	0.006
5386.770529999863	16.359	0.006
5386.809750000015	16.349	0.006
5387.471020000055	16.349	0.007
5387.576419999823	16.344	0.006
5387.7145299999975	16.345	0.006
5387.752859999891	16.341	0.006
5387.796610000078	16.353	0.007
5387.836689999793	16.34	0.007
5388.4943400002085	16.367	0.008
5388.5323800002225	16.348	0.007
5388.6414000000805	16.339	0.006
5388.751530000009	16.353	0.007
5388.791290000081	16.355	0.007
5388.835400000215	16.358	0.008
5389.493509999942	16.348	0.008
5389.5316300000995	16.36	0.008
5389.616969999857	16.355	0.007
5389.722209999803	16.356	0.008
5389.782589999959	16.339	0.009
5389.82311000023	16.352	0.007
5390.467970000114	16.351	0.011
5390.522770000156	16.354	0.011
5390.564790000208	16.351	0.008
5390.650330000091	16.366	0.008
5390.696599999908	16.359	0.007
5390.7460799999535	16.343	0.007
5390.784039999824	16.351	0.007
5390.821700000204	16.33	0.008
5391.516749999952	16.345	0.008
5391.555550000165	16.357	0.01
5391.61511000013	16.351	0.007
5391.724380000029	16.341	0.007
5391.807670000009	16.361	0.008
5391.845129999798	16.347	0.008
5392.492889999878	16.379	0.009
5392.531609999947	16.362	0.008
5392.593059999868	16.364	0.007
5392.703180000186	16.344	0.007
5392.785130000208	16.353	0.007
5392.82276999997	16.344	0.008
5393.638129999861	16.344	0.008
5393.677850000095	16.332	0.008
5393.716039999854	16.385	0.01
5393.761390000116	16.357	0.01
5393.799500000197	16.334	0.009
5393.837359999772	16.337	0.011
5395.831840000115	16.36	0.01
5396.57378000021	16.365	0.014
5396.628099999856	16.344	0.008
5396.723660000134	16.357	0.007
5396.758429999929	16.355	0.007
5396.796459999867	16.355	0.008
